"","Vu","gaut","meanI","maxI"
"83",0.2,0.82,0.0126440226759995,0.168888986103445
"84",0.2,0.83,0.0126818537283032,0.17094860788211
"85",0.2,0.84,0.0124009438425665,0.173008229654806
"86",0.2,0.85,0.0122006201013509,0.17506785147418
"87",0.2,0.86,0.0120806786800781,0.177127473237269
"88",0.2,0.87,0.0125100122411993,0.179187094996157
"89",0.2,0.88,0.0129468392264727,0.181246716824547
"90",0.2,0.89,0.0133919656324572,0.183306338579603
"91",0.2,0.9,0.0144196137887485,0.185365960222932
"92",0.2,0.91,0.0143034967554273,0.187425582089701
"93",0.2,0.92,0.0135882363520416,0.18948520379966
"94",0.2,0.93,0.0134508344016807,0.191544825735429
"95",0.2,0.94,0.0136091573019062,0.193604447422165
"96",0.2,0.95,0.0138068917380331,0.195664069114198
"97",0.2,0.96,0.0142365937540272,0.197723691080595
"98",0.2,0.97,0.0156525096786136,0.19978331286389
"99",0.2,0.98,0.014181468158406,0.201842934645883
"100",0.2,0.99,0.0144085954282146,0.203902556324693
"101",0.2,1,0.0147998904022385,0.205962178210271
"102",0.2,1.01,0.0150595334324446,0.208021799990375
"103",0.2,1.02,0.0155567571441923,0.2100814217703
"104",0.2,1.03,0.0160619725740573,0.212141043545683
"105",0.2,1.04,0.0166622798239388,0.214200665336056
"106",0.2,1.05,0.0170965441956286,0.216260287110422
"107",0.2,1.06,0.0169348204811885,0.218319908902835
"108",0.2,1.07,0.0167410443933784,0.220379530683211
"109",0.2,1.08,0.0151800493965808,0.2224391524263
"110",0.2,1.09,0.0156947629435796,0.224498773787443
"111",0.2,1.1,0.0162205159084135,0.226558396030701
"112",0.2,1.11,0.0163883605301785,0.22861801780531
"113",0.2,1.12,0.0165569783867579,0.230677639568354
"114",0.2,1.13,0.0167262927980598,0.232737261329865
"115",0.2,1.14,0.0168962889952397,0.23479688315428
"116",0.2,1.15,0.0170669697697126,0.236856504938164
"117",0.2,1.16,0.0172383396425189,0.2389161267225
"118",0.2,1.17,0.0174104434301534,0.240975748411446
"119",0.2,1.18,0.0175832304559692,0.243035370271607
"120",0.2,1.19,0.0177567283408558,0.245094991938447
"121",0.2,1.2,0.0179309555115344,0.247154613782956
"122",0.2,1.21,0.0181059221750027,0.249214235616647
"123",0.2,1.22,0.0182816365742022,0.251273857381939
"124",0.2,1.23,0.0184580879615387,0.253333479090983
"125",0.2,1.24,0.0186351604397524,0.255393100747606
"126",0.2,1.25,0.0183957852084947,0.257452722760989
"127",0.2,1.26,0.01857037560431,0.259512344220245
"128",0.2,1.27,0.0182193485195105,0.261571966262464
"129",0.2,1.28,0.0178081593472994,0.26363158808675
"130",0.2,1.29,0.0177967839520245,0.265691209891214
"131",0.2,1.3,0.0184012861349393,0.267750831673257
